Children cared for as a percentage of all children in the same age group,http://www.wurvoc.org/vocabularies/om-1.8/percent
Current prices (% of GDP),http://www.wurvoc.org/vocabularies/om-1.8/percent
Growth rate (%),http://www.wurvoc.org/vocabularies/om-1.8/percent
Head count (% of total researchers),http://www.wurvoc.org/vocabularies/om-1.8/percent
Percent of GDP,http://www.wurvoc.org/vocabularies/om-1.8/percent
Percentage change,http://www.wurvoc.org/vocabularies/om-1.8/percent
Percentage change on previous year,http://www.wurvoc.org/vocabularies/om-1.8/percent
Percentage points,http://www.wurvoc.org/vocabularies/om-1.8/percent
"Total - science, mathematics and computing - engineering, manufacture and construction (%)",http://www.wurvoc.org/vocabularies/om-1.8/percent
Upper secondary general education (%),http://www.wurvoc.org/vocabularies/om-1.8/percent
percentage points,http://www.wurvoc.org/vocabularies/om-1.8/percent
KM2,http://www.wurvoc.org/vocabularies/om-1.8/square_kilometre
km<sup>2</sup>,http://www.wurvoc.org/vocabularies/om-1.8/square_kilometre
m2,http://www.wurvoc.org/vocabularies/om-1.8/square_metre
m2 of the useful floor area,http://www.wurvoc.org/vocabularies/om-1.8/square_metre
T,http://www.wurvoc.org/vocabularies/om-1.8/tonne
T_AI,http://www.wurvoc.org/vocabularies/om-1.8/tonne
TLW,http://www.wurvoc.org/vocabularies/om-1.8/tonne
TPW,http://www.wurvoc.org/vocabularies/om-1.8/tonne
Tonne,http://www.wurvoc.org/vocabularies/om-1.8/tonne
Tonnes,http://www.wurvoc.org/vocabularies/om-1.8/tonne
Tonnes live weight,http://www.wurvoc.org/vocabularies/om-1.8/tonne
Tonnes of CO2 equivalent per capita,http://www.wurvoc.org/vocabularies/om-1.8/tonne
tonne,http://www.wurvoc.org/vocabularies/om-1.8/tonne
tonnes live weight,http://www.wurvoc.org/vocabularies/om-1.8/tonne
tonnes per capita,http://www.wurvoc.org/vocabularies/om-1.8/tonne
T_HA,http://www.wurvoc.org/vocabularies/om-1.8/tonne_per_hectare
YR,http://www.wurvoc.org/vocabularies/om-1.8/year
Tertiary education (years),http://www.wurvoc.org/vocabularies/om-1.8/year
Years,http://www.wurvoc.org/vocabularies/om-1.8/year
years,http://www.wurvoc.org/vocabularies/om-1.8/year
NR_HAB,-
M3_HAB,-
EUR_HAB_KP10,-
EUR_TOE,http://yavaa.org/ns/units/euroPerTonneOilEquivalent
GWH,http://yavaa.org/ns/units/gigawattHour
GWh,http://yavaa.org/ns/units/gigawattHours
GT,http://yavaa.org/ns/units/grossTonnage
Gross tonnage,http://yavaa.org/ns/units/grossTonnage
HAB_KM2,-
kg of oil equivalent,http://yavaa.org/ns/units/kgOilEquivalent
KGOE_TEUR,http://yavaa.org/ns/units/kilogrammOilEquivalentPerThousandEuro
KG_HAB,-
KG_TEUR_CLV10,http://yavaa.org/ns/units/kilogramPerThousandEuro
MIO,http://yavaa.org/ns/units/million
MIO_M3,http://yavaa.org/ns/units/millionCubicmeter
Million m³,http://yavaa.org/ns/units/millionCubicmeter
Million ECU/EUR,http://www.wurvoc.org/vocabularies/om-1.8/megaeuro
TVAL_SA,http://www.wurvoc.org/vocabularies/om-1.8/megaeuro
Million EUR,http://www.wurvoc.org/vocabularies/om-1.8/megaeuro
Million EUR (current prices) - Seasonally and calendar adjusted data,http://www.wurvoc.org/vocabularies/om-1.8/megaeuro
Million EUR - Seasonally and calendar adjusted data,http://www.wurvoc.org/vocabularies/om-1.8/megaeuro
Millions EUR,http://www.wurvoc.org/vocabularies/om-1.8/megaeuro
Trade value in million EUR - seasonally adjusted,http://www.wurvoc.org/vocabularies/om-1.8/megaeuro
million EUR,http://www.wurvoc.org/vocabularies/om-1.8/megaeuro
million EUR (current prices),http://www.wurvoc.org/vocabularies/om-1.8/megaeuro
MIO_PPS,http://yavaa.org/ns/units/millionPps
Million PPS,http://yavaa.org/ns/units/millionPps
MPPS_KM2,http://yavaa.org/ns/units/millionPpsPerSquarekilometer
MIO_T,http://yavaa.org/ns/units/millionTonne
million tonnes,http://yavaa.org/ns/units/millionTonne
Pupils per teacher,http://yavaa.org/ns/units/one
NR,http://yavaa.org/ns/units/one
Head count,http://yavaa.org/ns/units/one
Number,http://yavaa.org/ns/units/one
Number of acquisitions,http://yavaa.org/ns/units/one
Passengers,http://yavaa.org/ns/units/one
Persons,http://yavaa.org/ns/units/one
number,http://yavaa.org/ns/units/one
number of children per woman,http://yavaa.org/ns/units/one
number of live births per woman,http://yavaa.org/ns/units/one
persons,http://yavaa.org/ns/units/one
Per 100 persons,http://yavaa.org/ns/units/perHundred
P_HHAB,http://yavaa.org/ns/units/perHundred
Crude death rate per 100 000 persons,http://yavaa.org/ns/units/perHundredThousand
Per 100 000 inhabitants,http://yavaa.org/ns/units/perHundredThousand
Standardised death rate by 100 000 inhabitants,http://yavaa.org/ns/units/perHundredThousand
"Standardised death rate per 100 000 inhabitants, 3 years average",http://yavaa.org/ns/units/perHundredThousand
number par 100 000 persons,http://yavaa.org/ns/units/perHundredThousand
number per 100 000 employees,http://yavaa.org/ns/units/perHundredThousand
number per 100 000 persons,http://yavaa.org/ns/units/perHundredThousand
number per 100 000 persons aged less than 65,http://yavaa.org/ns/units/perHundredThousand
P_HTHAB,http://yavaa.org/ns/units/perHundredThousand
PM,http://yavaa.org/ns/units/perMile
Per million inhabitants,http://yavaa.org/ns/units/perMillion
number per million inhabitants,http://yavaa.org/ns/units/perMillion
P_THAB,http://yavaa.org/ns/units/perMillion
Per 1 000 persons,http://yavaa.org/ns/units/perThousand
Per 1000 live births,http://yavaa.org/ns/units/perThousand
Per 1000 persons,http://yavaa.org/ns/units/perThousand
Tertiary graduates in science and technology per 1 000 inhabitants aged 20-29 years,http://yavaa.org/ns/units/perThousand
number - per 1 000 persons,http://yavaa.org/ns/units/perThousand
P_MHAB,http://yavaa.org/ns/units/perThousand
PPS,http://yavaa.org/ns/units/pps
in PPS,http://yavaa.org/ns/units/pps
PPCS_HAB,-
PPS_HAB,-
M2_HAB,-
TJ,http://yavaa.org/ns/units/terrajoule
TJ_GCV,http://yavaa.org/ns/units/terrajoule
THS,http://yavaa.org/ns/units/thousand
THS_HD,http://yavaa.org/ns/units/thousand
1 000,http://yavaa.org/ns/units/thousand
1 000 holdings,http://yavaa.org/ns/units/thousand
1 000 passengers,http://yavaa.org/ns/units/thousand
1 000 persons,http://yavaa.org/ns/units/thousand
1 000 persons (seasonally adjusted),http://yavaa.org/ns/units/thousand
1 000HD = 1 000 heads (animals),http://yavaa.org/ns/units/thousand
Annual average (1 000),http://yavaa.org/ns/units/thousand
Tertiary education (1 000),http://yavaa.org/ns/units/thousand
THS_M3,http://yavaa.org/ns/units/thousandCubicmeter
1 000 m³,http://yavaa.org/ns/units/thousandCubicmeter
THS_EUR,http://yavaa.org/ns/units/thousandEuro
1 000 EUR,http://yavaa.org/ns/units/thousandEuro
